Wavenumber	Reflectance
7808.842046	0.164326
7806.481081	0.164326
7804.552161	0.164302
7802.622977	0.164367
7800.694745	0.164428
7798.765034	0.164329
7796.836886	0.164412
7794.90726	0.164490
7792.977981	0.164541
7791.049051	0.164562
7789.120468	0.164567
7787.191627	0.164606
7785.262529	0.164572
7783.333175	0.164430
7781.404777	0.164512
7779.475519	0.164688
7777.547217	0.164719
7775.617452	0.164694
7773.68804	0.164592
7771.759586	0.164477
7769.830277	0.164629
7767.901323	0.164759
7765.972723	0.164787
7764.043271	0.164777
7762.114779	0.164694
7760.186642	0.164717
7758.258259	0.164845
7756.328427	0.164886
7754.399556	0.164893
7752.470441	0.164919
7750.542286	0.164880
7748.612688	0.164845
7746.684651	0.164953
7744.753975	0.165039
7742.825459	0.164931
7740.896106	0.164741
7738.968313	0.164809
7737.038488	0.165062
7735.109624	0.165157
7733.180526	0.165114
7731.252389	0.164985
7729.322227	0.165030
7727.393626	0.165218
7725.464196	0.165217
7723.53573	0.165168
7721.606437	0.165276
7719.678108	0.165364
7717.748955	0.165353
7715.82017	0.165300
7713.89116	0.165305
7711.962519	0.165296
7710.033058	0.164915
7708.103969	0.164767
7706.175251	0.165073
7704.246904	0.165121
7702.317743	0.165356
7700.388954	0.165571
7698.458761	0.165610
7696.53072	0.165664
7694.601275	0.165716
7692.672798	0.165767
7690.742922	0.165763
7688.814605	0.165697
7686.885482	0.165721
7684.956736	0.165800
7683.027186	0.165752
7681.099196	0.165766
7679.169224	0.165805
7677.240812	0.165627
7675.3116	0.165568
7673.382769	0.165875
7671.453731	0.165940
7669.525073	0.165956
7667.596209	0.166073
7665.66714	0.166084
7663.737867	0.166058
7661.809565	0.166160
7659.880472	0.166255
7657.951178	0.166303
7656.022269	0.166312
7654.093746	0.166272
7652.164438	0.166301
7650.235516	0.166405
7648.306982	0.166467
7646.377666	0.166432
7644.448739	0.166294
7642.520201	0.166278
7640.590884	0.166455
7638.66254	0.166623
7636.732838	0.166676
7634.80411	0.166584
7632.874608	0.166383
7630.946081	0.166569
7629.016782	0.166849
7627.087295	0.166856
7625.158784	0.166906
7623.229505	0.166970
7621.301202	0.167001
7619.372712	0.167045
7617.443458	0.167051
7615.514601	0.166906
7613.58556	0.166895
7611.656338	0.167128
7609.727515	0.167257
7607.79909	0.167286
7605.868749	0.167232
7603.940544	0.167028
7602.011006	0.167048
7600.082446	0.167339
7598.153132	0.167471
7596.224798	0.167489
7594.295712	0.167454
7592.367029	0.167499
7590.437597	0.167657
7588.509146	0.167758
7586.579947	0.167761
7584.651729	0.167765
7582.722191	0.167819
7580.793635	0.167865
7578.863762	0.167894
7576.935445	0.167947
7575.006388	0.168008
7573.077739	0.168058
7571.148352	0.168109
7569.219376	0.168179
7567.290809	0.168226
7565.36208	0.168242
7563.433191	0.168258
7561.50414	0.168327
7559.57436	0.168335
7557.645564	0.168408
7555.71661	0.168520
7553.787499	0.168595
7551.858233	0.168669
7549.929382	0.168685
7548.000946	0.168697
7546.071787	0.168742
7544.143613	0.168769
7542.214719	0.168758
7540.285673	0.168707
7538.356477	0.168810
7536.4277	0.168957
7534.498775	0.169030
7532.569702	0.169038
7530.641049	0.169079
7528.711683	0.169194
7526.782173	0.169258
7524.853651	0.169274
7522.924985	0.169289
7520.995611	0.169300
7519.067227	0.169370
7517.138135	0.169499
7515.208904	0.169559
7513.279534	0.169580
7511.35059	0.169643
7509.421508	0.169701
7507.492853	0.169660
7505.563499	0.169509
7503.634573	0.169595
7501.705513	0.169797
7499.776882	0.169692
7497.848118	0.169793
7495.919783	0.170052
7493.990195	0.170125
7492.061599	0.170061
7490.132312	0.169802
7488.204019	0.169894
7486.274477	0.170284
7484.345369	0.170420
7482.416135	0.170465
7480.487336	0.170533
7478.557853	0.170579
7476.629924	0.170590
7474.700195	0.170579
7472.771463	0.170616
7470.842051	0.170710
7468.913635	0.170834
7466.984541	0.170942
7465.055887	0.170904
7463.126557	0.171005
7461.197668	0.171161
7459.268663	0.171241
7457.3401	0.171286
7455.410309	0.171291
7453.482073	0.171332
7451.553723	0.171456
7449.624707	0.171559
7447.695024	0.171600
7445.766895	0.171615
7443.837548	0.171666
7441.908647	0.171747
7439.979638	0.171780
7438.051076	0.171815
7436.121301	0.171903
7434.192528	0.171960
7432.263097	0.171987
7430.334116	0.172010
7428.405032	0.172053
7426.47695	0.172021
7424.547663	0.171992
7422.618828	0.172128
7420.689342	0.172177
7418.760859	0.172170
7416.831728	0.172283
7414.903051	0.172345
7412.973727	0.172371
7411.045407	0.172453
7409.115346	0.172518
7407.186838	0.172517
7405.258785	0.172490
7403.330092	0.172533
7401.400212	0.172663
7399.471885	0.172712
7397.542374	0.172702
7395.613868	0.172748
7393.684182	0.172812
7391.756048	0.172841
7389.82619	0.172886
7387.897339	0.172961
7385.967858	0.173025
7384.039929	0.173039
7382.110283	0.173062
7380.181644	0.173104
7378.25238	0.173047
7376.32358	0.173056
7374.3947	0.173269
7372.466286	0.173367
7370.53725	0.173396
7368.608138	0.173451
7366.679492	0.173550
7364.750771	0.173638
7362.821433	0.173692
7360.892564	0.173735
7358.963081	0.173800
7357.034609	0.173837
7355.105524	0.173872
7353.176911	0.173897
7351.247687	0.173947
7349.318935	0.174077
7347.389575	0.174244
7345.460689	0.174334
7343.531197	0.174303
7341.60218	0.174302
7339.673098	0.174441
7337.744492	0.174596
7335.815822	0.174692
7333.886553	0.174763
7331.95776	0.174813
7330.028907	0.174859
7328.099995	0.174946
7326.171024	0.175089
7324.242532	0.175217
7322.313447	0.175329
7320.384306	0.175429
7318.455645	0.175515
7316.526394	0.175613
7314.597625	0.175701
7312.668804	0.175777
7310.739396	0.175894
7308.811006	0.175980
7306.882031	0.176057
7304.952473	0.176205
7303.023934	0.176272
7301.094814	0.176306
7299.165647	0.176378
7297.236434	0.176498
7295.307709	0.176584
7293.378407	0.176714
7291.449594	0.176920
7289.520207	0.177052
7287.59184	0.177153
7285.662901	0.177274
7283.733922	0.177415
7281.804903	0.177546
7279.876376	0.177651
7277.947281	0.177755
7276.018679	0.177883
7274.089511	0.178016
7272.160309	0.178123
7270.231072	0.178246
7268.302859	0.178405
7266.373556	0.178563
7264.444749	0.178678
7262.514856	0.178756
7260.586516	0.178858
7258.657092	0.178999
7256.728166	0.179145
7254.799739	0.179294
7252.870759	0.179470
7250.941227	0.179615
7249.012721	0.179736
7247.08314	0.179897
7245.154586	0.180044
7243.224959	0.180165
7241.29636	0.180354
7239.367216	0.180536
7237.438575	0.180675
7235.509915	0.180791
7233.581759	0.180900
7231.652015	0.181059
7229.723824	0.181287
7227.794571	0.181462
7225.865825	0.181581
7223.936543	0.181734
7222.007769	0.181908
7220.077939	0.182064
7218.149662	0.182257
7216.220331	0.182466
7214.291511	0.182641
7212.362682	0.182792
7210.433324	0.182975
7208.504478	0.183150
7206.575626	0.183292
7204.647286	0.183435
7202.718421	0.183628
7200.789552	0.183827
7198.86068	0.183998
7196.931286	0.184156
7195.002927	0.184349
7193.074048	0.184557
7191.145169	0.184727
7189.215257	0.184909
7187.286897	0.185118
7185.357506	0.185273
7183.428635	0.185395
7181.499251	0.185551
7179.570904	0.185755
7177.641532	0.185937
7175.713196	0.186128
7173.783837	0.186327
7171.855002	0.186497
7169.925661	0.186675
7167.996844	0.186889
7166.068037	0.187084
7164.139242	0.187277
7162.209946	0.187471
7160.281176	0.187645
7158.351907	0.187857
7156.423677	0.188105
7154.494439	0.188324
7152.565217	0.188523
7150.636013	0.188726
7148.707339	0.188929
7146.778172	0.189118
7144.849535	0.189308
7142.919899	0.189506
7140.991304	0.189693
7139.062221	0.189886
7137.133162	0.190102
7135.203618	0.190333
7133.275625	0.190570
7131.346131	0.190804
7129.417173	0.191011
7127.488242	0.191203
7125.559846	0.191395
7123.629957	0.191596
7121.70162	0.191814
7119.772805	0.192024
7117.843515	0.192239
7115.914765	0.192496
7113.986047	0.192758
7112.056857	0.192996
7110.128713	0.193185
7108.199593	0.193354
7106.271014	0.193562
7104.341463	0.193816
7102.41296	0.194074
7100.483486	0.194296
7098.555061	0.194505
7096.625668	0.194742
7094.696821	0.194983
7092.768015	0.195227
7090.839253	0.195485
7088.909529	0.195716
7086.981357	0.195931
7085.051724	0.196176
7083.123142	0.196423
7081.193102	0.196620
7079.264614	0.196832
7077.335675	0.197097
7075.406785	0.197352
7073.477445	0.197586
7071.549156	0.197837
7069.61992	0.198079
7067.691237	0.198338
7065.763106	0.198629
7063.834032	0.198887
7061.905012	0.199127
7059.97605	0.199406
7058.046646	0.199673
7056.117799	0.199919
7054.18901	0.200158
7052.260281	0.200414
7050.330121	0.200671
7048.401514	0.200908
7046.471976	0.201166
7044.543494	0.201455
7042.614579	0.201721
7040.685729	0.201985
7038.755953	0.202250
7036.827731	0.202491
7034.898089	0.202766
7032.969506	0.203045
7031.040003	0.203305
7029.111063	0.203560
7027.182195	0.203814
7025.253397	0.204076
7023.324179	0.204373
7021.395526	0.204644
7019.46744	0.204902
7017.538935	0.205186
7015.609029	0.205482
7013.680675	0.205759
7011.751907	0.206007
7009.822724	0.206275
7007.893621	0.206567
7005.964598	0.206846
7004.035165	0.207111
7002.106304	0.207393
7000.177525	0.207658
6998.248338	0.207937
6996.319236	0.208229
6994.390708	0.208517
6992.461777	0.208787
6990.532931	0.209066
6988.604661	0.209361
6986.675502	0.209672
6984.746431	0.209950
6982.817939	0.210233
6980.888561	0.210509
6978.959762	0.210769
6977.030569	0.211064
6975.101955	0.211381
6973.172462	0.211692
6971.243551	0.211985
6969.314734	0.212265
6967.386014	0.212561
6965.456421	0.212875
6963.527411	0.213191
6961.5985	0.213483
6959.670173	0.213780
6957.740493	0.214079
6955.811883	0.214380
6953.882408	0.214681
6951.95352	0.214977
6950.024735	0.215280
6948.095572	0.215567
6946.166515	0.215883
6944.237564	0.216224
6942.309202	0.216541
6940.380466	0.216833
6938.450876	0.217115
6936.522839	0.217420
6934.592988	0.217749
6932.664692	0.218042
6930.735546	0.218355
6928.806993	0.218726
6926.877114	0.219061
6924.94831	0.219357
6923.018663	0.219673
6921.09057	0.219989
6919.160678	0.220291
6917.232341	0.220597
6915.303165	0.220910
6913.374587	0.221233
6911.445651	0.221576
6909.516837	0.221920
6907.58719	0.222238
6905.658621	0.222536
6903.729699	0.222847
6901.800901	0.223201
6899.871752	0.223554
6897.94273	0.223866
6896.013835	0.224170
6894.085543	0.224502
6892.155955	0.224830
6890.227446	0.225163
6888.298118	0.225519
6886.36987	0.225852
6884.440332	0.226187
6882.511401	0.226521
6880.582604	0.226856
6878.653941	0.227201
6876.724468	0.227548
6874.795604	0.227887
6872.866877	0.228210
6870.937816	0.228551
6869.008893	0.228923
6867.080111	0.229285
6865.150054	0.229623
6863.222025	0.229960
6861.292724	0.230301
6859.363566	0.230644
6857.434553	0.230994
6855.505684	0.231314
6853.576961	0.231654
6851.647914	0.232035
6849.719483	0.232401
6847.790732	0.232739
6845.86166	0.233058
6843.932269	0.233400
6842.003497	0.233787
6840.074409	0.234177
6838.145473	0.234550
6836.21669	0.234904
6834.287594	0.235237
6832.358652	0.235616
6830.429866	0.235999
6828.501235	0.236350
6826.57183	0.236715
6824.643049	0.237073
6822.713961	0.237426
6820.785033	0.237796
6818.856265	0.238186
6816.927194	0.238573
6814.998285	0.238947
6813.069539	0.239310
6811.140492	0.239660
6809.21161	0.240029
6807.282431	0.240406
6805.353418	0.240792
6803.424572	0.241184
6801.495431	0.241560
6799.56646	0.241940
6797.637658	0.242327
6795.708103	0.242720
6793.779643	0.243098
6791.850893	0.243460
6789.921855	0.243843
6787.992069	0.244228
6786.06338	0.244601
6784.134406	0.244984
6782.205149	0.245384
6780.276068	0.245765
6778.347626	0.246144
6776.418902	0.246532
6774.489441	0.246928
6772.561077	0.247355
6770.631978	0.247757
6768.70306	0.248121
6766.774326	0.248501
6764.84486	0.248914
6762.916494	0.249322
6760.987399	0.249713
6759.05849	0.250119
6757.129312	0.250519
6755.200322	0.250929
6753.271521	0.251347
6751.342454	0.251762
6749.413577	0.252169
6747.484892	0.252573
6745.555943	0.252966
6743.627188	0.253385
6741.696808	0.253810
6739.768896	0.254214
6737.839362	0.254604
6735.910479	0.255003
6733.98134	0.255432
6732.052399	0.255843
6730.123657	0.256243
6728.195114	0.256667
6726.266319	0.257070
6724.337725	0.257474
6722.408429	0.257912
6720.48024	0.258335
6718.5509	0.258750
6716.621765	0.259178
6714.692836	0.259609
6712.764563	0.260047
6710.833796	0.260481
6708.905488	0.260904
6706.97604	0.261330
6705.047251	0.261747
6703.118224	0.262153
6701.189408	0.262583
6699.260355	0.263035
6697.331515	0.263481
6695.402441	0.263911
6693.473582	0.264330
6691.544491	0.264765
6689.615616	0.265225
6687.686511	0.265678
6685.757625	0.266127
6683.82851	0.266570
6681.899616	0.266996
6679.970942	0.267420
6678.042935	0.267879
6676.113367	0.268355
6674.184913	0.268826
6672.254903	0.269276
6670.326452	0.269721
6668.397338	0.270162
6666.46845	0.270616
6664.538902	0.271094
6662.610026	0.271555
6660.681378	0.271995
6658.752517	0.272429
6656.823444	0.272877
6654.894602	0.273334
6652.965107	0.273786
6651.03673	0.274249
6649.107703	0.274702
6647.178911	0.275177
6645.249471	0.275657
6643.320709	0.276100
6641.391302	0.276551
6639.462575	0.277035
6637.533646	0.277510
6635.605398	0.277973
6633.676069	0.278456
6631.747422	0.278937
6629.818577	0.279427
6627.889975	0.279916
6625.960739	0.280385
6624.031749	0.280853
6622.102565	0.281315
6620.173629	0.281790
6618.244939	0.282288
6616.31606	0.282781
6614.386555	0.283265
6612.458175	0.283751
6610.529172	0.284249
6608.599983	0.284735
6606.67061	0.285176
6604.742364	0.285645
6602.813062	0.286159
6600.884453	0.286660
6598.954792	0.287136
6597.026258	0.287632
6595.097112	0.288149
6593.168225	0.288670
6591.239162	0.289178
6589.310359	0.289661
6587.38095	0.290132
6585.451802	0.290628
6583.52335	0.291139
6581.594295	0.291643
6579.665071	0.292125
6577.736113	0.292620
6575.80742	0.293149
6573.878562	0.293680
6571.949107	0.294182
6570.020353	0.294688
6568.091437	0.295207
6566.162359	0.295719
6564.233553	0.296237
6562.304587	0.296758
6560.375463	0.297264
6558.446614	0.297791
6556.518038	0.298336
6554.589307	0.298853
6552.659993	0.299357
6550.731386	0.299877
6548.802627	0.300403
6546.873717	0.300934
6544.94423	0.301463
6543.015452	0.301995
6541.086527	0.302534
6539.157456	0.303063
6537.22824	0.303582
6535.299735	0.304124
6533.370661	0.304668
6531.441871	0.305213
6529.512941	0.305747
6527.583872	0.306257
6525.654239	0.306785
6523.725321	0.307355
6521.796692	0.307925
6519.867928	0.308453
6517.938605	0.308971
6516.009575	0.309517
6514.080413	0.310079
6512.151545	0.310639
6510.223394	0.311180
6508.295115	0.311729
6506.365861	0.312292
6504.437327	0.312848
6502.507399	0.313398
6500.579039	0.313930
6498.649711	0.314464
6496.721105	0.315023
6494.791534	0.315595
6492.862688	0.316141
6490.933723	0.316685
6489.005062	0.317256
6487.075443	0.317834
6485.14655	0.318384
6483.217543	0.318935
6481.289263	0.319494
6479.358772	0.320065
6477.429849	0.320654
6475.500817	0.321216
6473.572514	0.321784
6471.643265	0.322375
6469.714748	0.322959
6467.785287	0.323536
6465.856141	0.324118
6463.928146	0.324706
6461.99963	0.325271
6460.070177	0.325826
6458.141459	0.326409
6456.212642	0.326998
6454.283727	0.327586
6452.3543	0.328167
6450.426025	0.328751
6448.495991	0.329343
6446.567528	0.329925
6444.638142	0.330509
6442.709494	0.331105
6440.780342	0.331685
6438.851515	0.332268
6436.922186	0.332873
6434.993598	0.333464
6433.065338	0.334064
6431.136579	0.334681
6429.207323	0.335281
