Wavenumber	Reflectance									
4000.652747	0.44502									
3998.724087	0.44509									
3996.79473	0.44556									
3994.865958	0.44589									
3992.936655	0.44616									
3991.007621	0.44682									
3989.079019	0.44702									
3987.150053	0.44702									
3985.221047	0.44709									
3983.291843	0.44736									
3981.363239	0.44816									
3979.434442	0.44822									
3977.505615	0.44796									
3975.576602	0.44849									
3973.647722	0.44896									
3971.718505	0.44909									
3969.789741	0.44923									
3967.860961	0.44976									
3965.931695	0.45016									
3964.002575	0.45023									
3962.073762	0.45029									
3960.144629	0.45043									
3958.215807	0.45056									
3956.286985	0.45096									
3954.357853	0.45123									
3952.428726	0.45136									
3950.500076	0.45156									
3948.570657	0.45156									
3946.642031	0.45223									
3944.712954	0.45203									
3942.783897	0.45210									
3940.855017	0.45336									
3938.926162	0.45390									
3936.997179	0.45390									
3935.068071	0.45330									
3933.139925	0.45263									
3931.210886	0.45323									
3929.28173	0.45443									
3927.353234	0.45470									
3925.424164	0.45450									
3923.494987	0.45523									
3921.566167	0.45543									
3919.637399	0.45516									
3917.707611	0.45490									
3915.77865	0.45643									
3913.849595	0.45763									
3911.920757	0.45783									
3909.991679	0.45817									
3908.062669	0.45777									
3906.133731	0.45537									
3904.204868	0.45410									
3902.275624	0.45470									
3900.346612	0.45537									
3898.417683	0.45750									
3896.488687	0.45950									
3894.559931	0.45917									
3892.630962	0.45737									
3890.702086	0.45850									
3888.772852	0.45970									
3886.844927	0.45717									
3884.915893	0.45837									
3882.986663	0.45944									
3881.057992	0.45890									
3879.128979	0.46090									
3877.199778	0.46177									
3875.271143	0.46010									
3873.342176	0.45997									
3871.41273	0.45777									
3869.483708	0.45837									
3867.554812	0.46057									
3865.625746	0.45977									
3863.696813	0.46070									
3861.767865	0.46210									
3859.838905	0.46331									
3857.910085	0.46197									
3855.981705	0.45550									
3854.052876	0.45123									
3852.123749	0.45757									
3850.194774	0.46357									
3848.265952	0.46584									
3846.336991	0.46531									
3844.407894	0.46391									
3842.478958	0.46331									
3840.549746	0.46164									
3838.620848	0.45990									
3836.691679	0.46170									
3834.762831	0.46404									
3832.834011	0.46477									
3830.905076	0.46651									
3828.976029	0.46744									
3827.047166	0.46698									
3825.117758	0.46684									
3823.188541	0.46337									
3821.259662	0.46237									
3819.330833	0.46571									
3817.401909	0.46424									
3815.472895	0.46564									
3813.543793	0.46978									
3811.614752	0.47085									
3809.686792	0.46931									
3807.75788	0.46618									
3805.828893	0.46851									
3803.899834	0.46751									
3801.970995	0.46477									
3800.042089	0.46824									
3798.112976	0.46965									
3796.184091	0.47018									
3794.254429	0.47251									
3792.325865	0.47358									
3790.396674	0.47418									
3788.467866	0.47365									
3786.538869	0.47318									
3784.609831	0.47352									
3782.68104	0.47392									
3780.75207	0.47258									
3778.822782	0.47332									
3776.89375	0.47492									
3774.964691	0.47538									
3773.035893	0.47452									
3771.106933	0.47251									
3769.178096	0.47278									
3767.248962	0.47365									
3765.319957	0.47432									
3763.391936	0.47558									
3761.463059	0.47385									
3759.533896	0.47345									
3757.604876	0.47445									
3755.676	0.47418									
3753.74699	0.46978									
3751.81799	0.46658									
3749.889285	0.46784									
3747.959892	0.47078									
3746.030799	0.46658									
3744.10201	0.46724									
3742.172825	0.47325									
3740.243948	0.47412									
3738.314822	0.47111									
3736.386011	0.46824									
3734.457096	0.46878									
3732.527665	0.46998									
3730.598834	0.47298									
3728.669633	0.47271									
3726.740759	0.47111									
3724.81166	0.47111									
3722.882755	0.47091									
3720.954047	0.47091									
3719.024846	0.47105									
3717.096817	0.47091									
3715.167748	0.46864									
3713.238751	0.46437									
3711.309689	0.46317									
3709.380705	0.46444									
3707.4518	0.46571									
3705.522978	0.46504									
3703.594105	0.46257									
3701.664909	0.46077									
3699.735942	0.46050									
3697.806934	0.45843									
3695.877888	0.45570									
3693.948942	0.45169									
3692.020101	0.44582									
3690.091094	0.43882									
3688.162062	0.43528									
3686.232735	0.43334									
3684.303933	0.42714									
3682.374707	0.41633									
3680.44574	0.39651									
3678.516763	0.36882									
3676.587915	0.34893									
3674.659062	0.35487									
3672.730075	0.36995									
3670.801764	0.38256									
3668.872919	0.39364									
3666.943949	0.39818									
3665.014991	0.39190									
3663.085915	0.37816									
3661.156857	0.36915									
3659.227956	0.37135									
3657.29908	0.37929									
3655.369831	0.38917									
3653.440882	0.39364									
3651.511834	0.39157									
3649.582957	0.38950									
3647.654121	0.38884									
3645.725196	0.38710									
3643.796053	0.38476									
3641.867359	0.38610									
3639.938718	0.38937									
3638.009737	0.39110									
3636.080815	0.39090									
3634.151825	0.39004									
3632.222902	0.38830									
3630.293917	0.38396									
3628.365005	0.38430									
3626.436037	0.38630									
3624.506623	0.38603									
3622.577555	0.38503									
3620.648835	0.38343									
3618.719811	0.38370									
3616.790749	0.38476									
3614.861912	0.38436									
3612.932912	0.38383									
3611.003754	0.38316									
3609.074831	0.38263									
3607.145756	0.38363									
3605.216662	0.38443									
3603.287683	0.38416									
3601.358951	0.38336									
3599.429822	0.38356									
3597.500946	0.38383									
3595.571938	0.38403									
3593.643707	0.38483									
3591.714833	0.38517									
3589.785839	0.38350									
3587.856855	0.38270									
3585.928015	0.38416									
3583.999064	0.38537									
3582.070134	0.38583									
3580.141229	0.38570									
3578.211839	0.38537									
3576.282609	0.38530									
3574.353797	0.38490									
3572.424895	0.38450									
