Wavenumber	Reflectance
4000.65	0.66936
3998.72	0.66983
3996.79	0.66958
3994.87	0.66980
3992.94	0.67061
3991.01	0.67065
3989.08	0.66975
3987.15	0.66880
3985.22	0.66874
3983.29	0.66962
3981.36	0.67033
3979.43	0.67038
3977.51	0.66993
3975.58	0.66911
3973.65	0.66871
3971.72	0.66863
3969.79	0.66900
3967.86	0.66927
3965.93	0.66864
3964.00	0.66811
3962.07	0.66848
3960.14	0.66913
3958.22	0.66956
3956.29	0.66961
3954.36	0.66911
3952.43	0.66890
3950.50	0.66893
3948.57	0.66890
3946.64	0.66907
3944.71	0.66927
3942.78	0.66881
3940.86	0.66820
3938.93	0.66794
3937.00	0.66792
3935.07	0.66832
3933.14	0.66910
3931.21	0.66920
3929.28	0.66900
3927.35	0.66927
3925.42	0.66911
3923.49	0.66826
3921.57	0.66786
3919.64	0.66856
3917.71	0.66886
3915.78	0.66798
3913.85	0.66724
3911.92	0.66726
3909.99	0.66771
3908.06	0.66785
3906.13	0.66779
3904.20	0.66873
3902.28	0.66936
3900.35	0.66869
3898.42	0.66753
3896.49	0.66650
3894.56	0.66609
3892.63	0.66627
3890.70	0.66678
3888.77	0.66645
3886.84	0.66627
3884.92	0.66676
3882.99	0.66734
3881.06	0.66789
3879.13	0.66741
3877.20	0.66712
3875.27	0.66747
3873.34	0.66711
3871.41	0.66736
3869.48	0.66765
3867.55	0.66615
3865.63	0.66596
3863.70	0.66684
3861.77	0.66629
3859.84	0.66535
3857.91	0.66488
3855.98	0.66698
3854.05	0.67169
3852.12	0.67118
3850.19	0.66704
3848.27	0.66513
3846.34	0.66425
3844.41	0.66459
3842.48	0.66491
3840.55	0.66533
3838.62	0.66612
3836.69	0.66584
3834.76	0.66539
3832.83	0.66554
3830.91	0.66468
3828.98	0.66340
3827.05	0.66351
3825.12	0.66362
3823.19	0.66394
3821.26	0.66472
3819.33	0.66353
3817.40	0.66315
3815.47	0.66395
3813.54	0.66287
3811.61	0.66221
3809.69	0.66210
3807.76	0.66225
3805.83	0.66162
3803.90	0.66111
3801.97	0.66356
3800.04	0.66430
3798.11	0.66275
3796.18	0.66180
3794.25	0.66105
3792.33	0.66076
3790.40	0.66049
3788.47	0.65995
3786.54	0.65971
3784.61	0.65980
3782.68	0.65977
3780.75	0.66025
3778.82	0.66004
3776.89	0.65846
3774.96	0.65781
3773.04	0.65810
3771.11	0.65848
3769.18	0.65852
3767.25	0.65773
3765.32	0.65721
3763.39	0.65738
3761.46	0.65796
3759.53	0.65875
3757.60	0.65877
3755.68	0.65739
3753.75	0.65739
3751.82	0.65985
3749.89	0.66030
3747.96	0.65799
3746.03	0.65841
3744.10	0.66000
3742.17	0.65689
3740.24	0.65408
3738.31	0.65483
3736.39	0.65675
3734.46	0.65705
3732.53	0.65533
3730.60	0.65282
3728.67	0.65107
3726.74	0.65098
3724.81	0.65042
3722.88	0.64890
3720.95	0.64702
3719.02	0.64459
3717.10	0.64199
3715.17	0.64033
3713.24	0.63977
3711.31	0.63869
3709.38	0.63521
3707.45	0.63054
3705.52	0.62675
3703.59	0.62454
3701.66	0.62215
3699.74	0.61896
3697.81	0.61648
3695.88	0.61399
3693.95	0.61135
3692.02	0.60979
3690.09	0.60866
3688.16	0.60697
3686.23	0.60382
3684.30	0.60081
3682.37	0.59959
3680.45	0.59933
3678.52	0.59913
3676.59	0.60030
3674.66	0.59955
3672.73	0.59683
3670.80	0.59676
3668.87	0.59623
3666.94	0.59409
3665.01	0.59186
3663.09	0.58970
3661.16	0.58839
3659.23	0.58719
3657.30	0.58610
3655.37	0.58505
3653.44	0.58363
3651.51	0.58349
3649.58	0.58338
3647.65	0.58059
3645.73	0.57660
3643.80	0.57400
3641.87	0.57243
3639.94	0.57120
3638.01	0.56966
3636.08	0.56771
3634.15	0.56654
3632.22	0.56544
3630.29	0.56521
3628.37	0.56387
3626.44	0.56040
3624.51	0.55738
3622.58	0.55495
3620.65	0.55415
3618.72	0.55351
3616.79	0.55195
3614.86	0.55084
3612.93	0.54958
3611.00	0.54770
3609.07	0.54545
3607.15	0.54293
3605.22	0.54074
3603.29	0.53968
